ISBN,タイトル,著者,出版社,出版日,追加日
9784297142490,エンジニア組織を強くする開発生産性の教科書 : 事例から学ぶ、生産性向上への取り組み方,"佐藤/将高 ファインディ株式会社/佐藤, 将高/ファインディ株式会社",技術評論社,202407,2025-11-19
9784295004905,LeanとDevOpsの科学 : テクノロジーの戦略的活用が組織変革を加速する : Accelerate,"Forsgren/Nicole Humble/Jez Kim/Gene 武舎/広幸 ほか/Forsgren, Nicole/Humble, Jez/Kim, Gene/武舎, 広幸/武舎, るみ, 1958-",インプレス,201811,2025-11-19
